pathogen_name,pathogen_type,frequency_hz,disease_count,associated_diseases,target_organs
Ancylostoma duodenale mascul,Necunoscut,-,3,ANEMIE; Edem; EDEM,erythrocutes; renes; blood; cor
Babesia garinii,Necunoscut,"390,000",3,ANEMIE; Splenomegalie; Limfadenopatie și Splenomegalie,erythrocutes; lymph; blood; lien
Babesia valaisiana,Necunoscut,parazit,1,ANEMIE,erythrocutes; blood
Babesia valeriana,Necunoscut,"388,000",3,Febra recurentă transmisă de păduchi (FRTP); ANEMIE; Febra recurentă transmisă de căpușe (FRTC),erythrocutes; blood
Babesia venatorum,Necunoscut,parazit,1,ANEMIE,erythrocutes; blood
Bartonella baciliformis,Necunoscut,bacterie,2,ANEMIE; LEZIUNI,erythrocutes; muscle; cutis; os; blood; bones
Ben (Benzen),Cancerogen,cancerogen,7,Limfomul Burkitt; Leucemia/limfomul cu celule T al adultului (ATLL); Leucemia/limfomul cu celule T al adultului (HTLV-I); ANEMIE; LIMFOM; LEUCEMIE; Limfomul limfoblastic cu precursori ai celulei T sau B,erythrocutes; jaw; granulocytes; lymph; blood; bone marrow
Diphyllobothrium latum (scolex),Necunoscut,"452,900",2,"ANEMIE; Deficit de Vitamina B12 (Anemie megaloblastică, Neuropatie)",erythrocutes; bone marrow; medulla spinalis; blood
Echinostoma isocanun,Necunoscut,parazit,14,"Diareea osmotică; Diareea cronică; Diareea secretorie; DIAREEA CALATORULUI; Diareea artificială (abuz de laxative, autoindusă); ANEMIE; ENTERITA; Diaree, Constipație și Malabsorbție; Diareea datorată medicației (AINS, laxative, antibiotice); DIAREE; Diareea acută; Diareea inflamatorie; INTESTINE — DIAREE; Diareea indusă de malabsorbția acizilor biliari (colecistectomie, boli ileale)",duodenum; erythrocutes; ductus choledochus; vesica fellea; blood; tumica mucosa coli; colon; ileum; ductuli biliferi; jejunum
Necator americanus,Necunoscut,-,2,ENTERITA; ANEMIE,duodenum; erythrocutes; blood; ileum; jejunum
Plasmodium falciparum,Necunoscut,"372,300",5,ANEMIE; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Insuficiență renală cronică; Insuficiență renală acută; COMA,erythrocutes; bronchi; renes; blood; pulma; cerebrum totalis
Bacillus anthracis,Bacterie,"359,400",1,ANTRAX,erythrocutes; blood; cutis; pulma
Bacillus anthracis (dinte) – cauzează antrax la vite,"395, 364, 368",398.05,1,ANTRAX,erythrocutes; blood; cutis; pulma
Bacillus anthracis spore,388,386.95,1,ANTRAX,erythrocutes; blood; cutis; pulma
Bacillus anthracis spores,Necunoscut,"386,950",1,ANTRAX,erythrocutes; blood; cutis; pulma
Bacillus anthracis – spori,388,391.45,1,ANTRAX,erythrocutes; blood; cutis; pulma
Spori in frotiu bacterian,Necunoscut,-,3,TETANOS; ANTRAX; GAT - NOD IN GAT,erythrocutes; muscle; cutis; medulla spinalis; blood; nervus trigeminus; pulma; larynx; pharynx
Enterobius vermicularis (oxiuri),Parazit,"420,950",7,Sindromul de apnee în somn; Tulburări de ventilație; Apneea de somn; Sindrom de apnee în somn; Tulburări de micțiune; Prurit; URĂ,erythrocutes; bronchi; cutis; prostata; blood; pulma; cerebrum totalis; pharynx; vesies urinaria; corpus amygdaloid.; cor
Enterobius vermicularis,423,426.3,7,Sindromul de apnee în somn; Tulburări de ventilație; Apneea de somn; Sindrom de apnee în somn; Tulburări de micțiune; Prurit; URĂ,erythrocutes; bronchi; cutis; prostata; blood; pulma; cerebrum totalis; pharynx; vesies urinaria; corpus amygdaloid.; cor
Pseudomonas aeruginosa (piocianic),Bacterie,"331,250",11,CHIST; Infecții; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Pneumonia; ARSURI; Infecții produse de arsuri termice; Endocardita gonococică; FIBROZA; Keratita cu Acanthamoeba,erythrocutes; bronchi; ovaria; cutis; renes; myocardium; blood; mitrai valve; pulma; lymph; conjunctiva; crystalline lens; cornea; endocardium; hepar; vitreous body; cor
Pseudomonas aeruginosa (rani deschise),333,334.6,9,Infecții; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; ARSURI; Infecții produse de arsuri termice; Endocardita gonococică; DIABET; Keratita cu Acanthamoeba,erythrocutes; cutis; renes; myocardium; blood; mitrai valve; lymph; conjunctiva; crystalline lens; cornea; pancreas; endocardium; vitreous body; cor
Vampire seris nana,Bacterie,"220,000",4,ENTERITA; Artrita asociată cu boala inflamatorie intestinală; DIAREE; Infecție cu Dermatofite,duodenum; cutis; membrana synovalis; tumica mucosa coli; colon; ileum; cartilago comp.; jejunum
Neisseria gonorrhoeae,Bacterie,"333,850",4,CONJUNCTIVITA; Artrita gonococică; SALPINGITA; Conjunctivita neonatală gonococică,uterus; membrana synovalis; endometrium; conjunctiva; crystalline lens; cornea; cartilago comp.; vitreous body; uterine tube
Neisseria gonorrhea (gonoree),334,336.5,4,CONJUNCTIVITA; Artrita gonococică; SALPINGITA; Conjunctivita neonatală gonococică,uterus; membrana synovalis; endometrium; conjunctiva; crystalline lens; cornea; cartilago comp.; vitreous body; uterine tube
Yersinia enterocolitica,Bacterie,"390,000",2,Artrita reactivă; Yersinioza,membrana synovalis; lymph; blood; colon; cartilago comp.
Mycoplasma,Bacterie,"322,850",2,Artrita reactivă; Pneumonia,cartilago comp.; bronchi; membrana synovalis; pulma
Chlamydia pneumoniae,Necunoscut,bacterie,11,Artrita reactivă; GAT — FARINGITA; Faringita streptococică; Sinuzita fungică invazivă; Pneumonia; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; FARINGITA; Pneumonia cu C. pneumoniae; Ateroscleroza; CHLAMYDIA (infectie cu ...),bronchi; uterus; membrana synovalis; mem. max. sinus; conjunctiva; pulma; mucosa nasalis; larynx; pharynx; mem. frontal sinus; cartilago comp.; nos. kpl. sinusitis; arteries; uterine tube
Mycoplasma fermentans incognitus,Causing respiratory/pelvic inflammatory disease,micoplasma,2,Artrita reactivă; Pneumonia,cartilago comp.; bronchi; membrana synovalis; pulma
Mycoplasma incognitos,Necunoscut,micoplasma,2,Artrita reactivă; Pneumonia,cartilago comp.; bronchi; membrana synovalis; pulma
Shigella flexneri – depresie,318,394,1,Artrita reactivă,cartilago comp.; membrana synovalis
Yersinia pseudotuberculosis (Pseudotuberculoza),Bacterie,"8.044.597,06",2,Artrita reactivă; Septicemie bacteriană,erythrocutes; membrana synovalis; renes; blood; cartilago comp.; cor
Haemophilus influenzae,Bacterie,"336,410",17,Artrita Septică; Epiglotita; Meningita bacteriană; Pneumonia de hipersensibilizare; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sinuzita fungică invazivă; Pneumonia; Pneumonia streptococică; Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia eozinofilică; Pneumonia cu Pneumocystis carinii; Artrita septică; Pneumonia cu C. pneumoniae; Otita medie (C. trachomatis); Meningita bacteriană acută; Pneumonia infantilă (C. trachomatis); Pneumonia severă,bronchi; mucosa nasalis; larynx; dura mater encephali; cartilago comp.; frontal cerebrum; pia mater encephali; mem. max. sinus; auditory ossicle; tympanic cavity; membrana synovalis; occipital cerebrum; cerebrum totalis; pharynx; mem. frontal sinus; nos. kpl. sinusitis; cochlea; tuba auditiva; pulma
"Streptococcus mitis – plămân, dinți, abces, genunchi",318,321.1,3,Artrita septică; Artrita Septică; Endocardita bacteriană (streptococi viridans sau enterococi),membrana synovalis; myocardium; mitrai valve; cartilago comp.; endocardium; cor
Streptococcus agalactiae,Necunoscut,bacterie,2,Artrita septică; Artrita Septică,cartilago comp.; membrana synovalis
Streptococcus mitis (plamani/dinte),318,321.1,6,Artrita Septică; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Artrita septică; Endocardita gonococică,membrana synovalis; myocardium; mitrai valve; cartilago comp.; endocardium; cor
Borellia (Lyme),Bacterie,"378,950",13,ARTRITĂ (în general); Boala Lyme; ARTRITĂ — POLIARTRITA REUMATOIDĂ; Pericardită; Polineuropatia în boala Lyme; INIMĂ — MIOCARDITĂ; Miocardită și cardiomiopatii; INIMĂ — PERICARDITĂ; MIOCARDITĂ; Endocardită infecțioasă; ARTRITĂ GUTOASĂ; ARTRITĂ — ARTROZĂ; Artrită reumatoidă,medulla spinalis; cutis; membrana synovalis; muscle; arteria coronaria; mitrai valve; myocardium; pericardium; nervus trigeminus; cartilago comp.; endocardium; cor
Borrelia burgdorferi – boala Lyme,380,382.0,14,Cardita Lyme; ARTRITĂ (în general); Boala Lyme; ARTRITĂ — POLIARTRITA REUMATOIDĂ; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Miocardita; Endocardita gonococică; Polineuropatia în boala Lyme; ARTRITĂ GUTOASĂ; ARTRITĂ — ARTROZĂ; Tuberculoza pericardică (pericardita tuberculoasă); Artrită reumatoidă,medulla spinalis; cutis; membrana synovalis; myocardium; mitrai valve; nervus trigeminus; pericardium; cartilago comp.; endocardium; cor
Brucella (Bruceloza),Bacterie,4.122.222,7,ARTRITĂ (în general); ARTRITĂ — POLIARTRITA REUMATOIDĂ; ORHITĂ; ARTRITĂ GUTOASĂ; ARTRITĂ — ARTROZĂ; Bruceloza; Artrită reumatoidă,membrana synovalis; os; lymph; testes; bones; cartilago comp.; hepar; lien
Brucella abortus,Necunoscut,-,14,"ARTRITĂ (în general); ARTRITĂ — POLIARTRITA REUMATOIDĂ; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Spondilita Anchilozantă; Orhita virală (de exemplu, cauzată de oreion); Endocardita gonococică; ARTRITĂ GUTOASĂ; Spondilita anchilozantă; ARTRITĂ — ARTROZĂ; Bruceloza; Artrită reumatoidă; Spondilita ankilozantă",os; parotid gland; myocardium; mitrai valve; cartilago comp.; submandibular gland; endocardium; hepar; auditory ossicle; lien; tympanic cavity; membrana synovalis; testes; cochlea; tuba auditiva; medulla spinalis; lymph; bones; cor
Ascaris megalocephala (male),Parazit,"403,850",1,Ascaridoza,ileum; pulma; colon
Ascaris lumbricoides – masculin și feminin,Același,-,1,Ascaridoza,ileum; pulma; colon
Ascaris lumbricoides (m si f),Necunoscut,-,1,Ascaridoza,ileum; pulma; colon
Ascaris megalocephala (mascul),408,409.7,1,Ascaridoza,ileum; pulma; colon
Ascaris megalocephala (masculin),408,409.7,1,Ascaridoza,ileum; pulma; colon
Clostridium tetani (Tetanos),Necunoscut,5.671.454,6,Convulsii; TETANOS; MUȘCHI — CONVULSII; Convulsii și epilepsie; ASFIXIE; TRISMUS,bronchi; muscle; medulla spinalis; trachea; nervus trigeminus; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
ASPERGILUS O CHRAC,Virus,6.486.468,2,Aspergiloza; Sinuzita fungică invazivă,bronchi; mem. max. sinus; pulma; sinusit; mucosa nasalis; mem. frontal sinus; nos. kpl. sinusitis
Aspergillus ochraceus,Fungi,6.456.468,1,Aspergiloza,bronchi; sinusit; pulma
Aspergillus,Necunoscut,ciuperca,1,Aspergiloza,bronchi; sinusit; pulma
Aspergillus fumigatus,Necunoscut,ciuperca,4,Aspergiloza; Aspergiloză bronhopulmonară alergică (ABPA); Aspergiloza bronhopulmonară alergică (ABPA); Sinuzita fungică invazivă,bronchi; mem. max. sinus; pulma; sinusit; mucosa nasalis; mem. frontal sinus; nos. kpl. sinusitis
Aspergillus fumigatus B,Necunoscut,ciuperca,1,Aspergiloza,bronchi; sinusit; pulma
Aspergillus mycelium*,*obținut cu sintetizator hp,301,2,Aspergiloza; Tuse și Hemoptizie,erythrocutes; bronchi; blood; pulma; sinusit
Rinovirus,Virus,"6.398.015,64",3,Astm; ASTM; Astmul,bronchi; pulma
Dermatophagoides – acarian de praf,Necunoscut,-,8,Astmul bronșic alergic; ECZEMA; Astm; CONJUNCTIVITA; Eczema; ASTM; RINITA; Astmul,bronchi; cutis; conjunctiva; pulma; crystalline lens; cornea; mucosa nasalis; nos. kpl. sinusitis; vitreous body
Campylobacter – unguent de embrion,368,370.6,1,AVORT SPONTAN,uterus; endometrium
Corn de secară,Necunoscut,-,5,AVORT SPONTAN; Convulsii; MUȘCHI — CONVULSII; HALUCINATII; Convulsii și epilepsie,uterus; endometrium; occipital cerebrum; cerebrum totalis; frontal cerebrum; temporal lobe
Listeria monocytogenes (Listerioza),Bacterie,5.812.438,2,Septicemie bacteriană; AVORT SPONTAN,erythrocutes; uterus; endometrium; renes; blood; cor
Balantidium coli cysts,Parazit,"458,800",3,Balantidioza; INTESTINE — DIZENTERIE; DIZENTERIE,tumica mucosa coli; colon
Balantidium coli chisturi,460,462.9,2,Balantidioza; DIAREE,tumica mucosa coli; colon
Balantidium coli – chist,460,462.9,1,Balantidioza,tumica mucosa coli; colon
Balantidium sp. trofozoite (cobai),Necunoscut,-,2,"Balantidioza; Schistosomiaza cerebrală (S. japonicum și rar S. haematobium, S. mansoni)",occipital cerebrum; tumica mucosa coli; cerebrum totalis; colon; frontal cerebrum
C.B.D.,Necunoscut,-,2,Boala / Afectiunea; Boala Crohn,colon; ileum; tumica mucosa coli; Sistemic
Trypanosoma cruzi,Necunoscut,parazit,6,Boala Chagas; Cardiomiopatia în boala Chagas; Miocardita; Megacolon și megaesofag în boala Chagas; Boala Chagas (Tripanosomiaza americană); ESOFAG,myocardium; tumica mucosa coli; colon; esophagus; cor
Trypanosoma cruzi (Chagas),Necunoscut,"460,200",7,Boala Chagas; Edem; Cardiomiopatia în boala Chagas; Miocardita; Megacolon și megaesofag în boala Chagas; EDEM; Boala Chagas (Tripanosomiaza americană),erythrocutes; renes; myocardium; blood; tumica mucosa coli; colon; esophagus; cor
Trypanosoma cruzi (tesut cerebral),463,465.65,5,Boala Chagas; Cardiomiopatia în boala Chagas; Megacolon și megaesofag în boala Chagas; ENCEFALITA; Boala Chagas (Tripanosomiaza americană),myocardium; occipital cerebrum; colon; cerebrum totalis; tumica mucosa coli; esophagus; frontal cerebrum; cor
*Prion peptid (din virus gripa omorat),Necunoscut,554,3,Boala Creutzfeldt-Jakob; INSOMNIE; FATA,nervus facialis; hypothalamus; cutis; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum; corpus amygdaloid.
Prioni,Peptide,"506,000",3,Insomnia; Boala Creutzfeldt-Jakob; FATA,nervus facialis; hypothalamus; cutis; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum; corpus amygdaloid.
Mycobacterium para TB,382,384.65,2,ENTERITA; Boala Crohn,duodenum; tumica mucosa coli; colon; ileum; jejunum
Oscillospira,Necunoscut,bacterie,6,"OBEZITATE; GRASIME, OBEZITATE; Cancer asociat cu obezitatea; Sindromul Pickwick (obezitate-hipoventilație); Obezitatea; Boala Crohn",os; tumica mucosa coli; colon; pulma; ileum; pancreas; bones; hepar; cor
Bartonella henselae (Boala zgarieturii de pisica),Bacterie,"110,000",13,"Infecții prin zgârieturi de pisică (Boala zgârieturii de pisică); Boala zgârieturii de pisică; Boala prin depunere de calciu hidroxiapatit (HA); Boala plămânului de fermier; Boala de reflux gastroesofagian; Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Boala de reflux gastroesofagian (GERD); Boala prin depunere de oxalat de calciu (CaOx); Boala Mixtă de Țesut Conjunctiv; Boala vasculară de colagen (ex. lupus eritematos sistemic); Infecții produse prin mușcături de pisică; Boala prin depunere de calciu pirofosfat dihidrat (CPPD)",bronchi; cutis; membrana synovalis; mesenchume; renes; os; conjunctiva; blood; lymph; pulma; colon; crystalline lens; esophagus; cornea; cartilago comp.; hepar; vitreous body
Trypanosoma gambiense,396,"393,750",24,MÂINI - BOALA LUI DUPUYTREN; Coma indusă de toxine; ENCEFALITA; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Boala prin depunere de calciu pirofosfat dihidrat (CPPD); Boala plămânului de fermier; Boala de reflux gastroesofagian; Sindromul de fază întârziată sau avansată a somnului; Boala prin depunere de oxalat de calciu (CaOx); Boala Mixtă de Țesut Conjunctiv; DINTI - MASEA DE MINTE INCLUSA; Boala vasculară de colagen (ex. lupus eritematos sistemic); NARCOLEPSIE — BOALA SOMNULUI; Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); TOXICOMANIA; Boala somnului (Tripanosomiaza africană); FRICA; Ginecomastie; Boala zgârieturii de pisică; Coma hiperosmolară; Boala prin depunere de calciu hidroxiapatit (HA); Boala de reflux gastroesofagian (GERD); BOALA SOMNULUI; COMA,bronchi; renes; os; mama dextra; colon; cartilago comp.; frontal cerebrum; vitreous body; corpus amygdaloid.; conjunctiva; blood; mamma sinistra; esophagus; hepar; membrana synovalis; testes; occipital cerebrum; cerebrum totalis; crystalline lens; cornea; teeth; hypophysis; erythrocutes; tendon; hypothalamus; cutis; mesenchume; lymph; pulma; bones; sympathicus
Trypanosoma rhodesiene,426,428.55,19,MÂINI - BOALA LUI DUPUYTREN; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Boala prin depunere de calciu pirofosfat dihidrat (CPPD); Boala plămânului de fermier; Boala de reflux gastroesofagian; Sindromul de fază întârziată sau avansată a somnului; Boala prin depunere de oxalat de calciu (CaOx); Boala Mixtă de Țesut Conjunctiv; DINTI - MASEA DE MINTE INCLUSA; Boala vasculară de colagen (ex. lupus eritematos sistemic); NARCOLEPSIE — BOALA SOMNULUI; Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); Boala somnului (Tripanosomiaza africană); FRICA; Boala zgârieturii de pisică; Boala prin depunere de calciu hidroxiapatit (HA); FATA; Boala de reflux gastroesofagian (GERD); BOALA SOMNULUI,bronchi; renes; os; colon; cartilago comp.; vitreous body; corpus amygdaloid.; conjunctiva; blood; esophagus; hepar; nervus facialis; membrana synovalis; cerebrum totalis; crystalline lens; cornea; teeth; erythrocutes; tendon; hypothalamus; cutis; mesenchume; lymph; pulma; bones; sympathicus
Trypanosoma rhodesiense,426,"423,500",16,FRICA; NARCOLEPSIE — BOALA SOMNULUI; Boala zgârieturii de pisică; Boala prin depunere de calciu hidroxiapatit (HA); Boala plămânului de fermier; Boala de reflux gastroesofagian; FATA; Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); Sindromul de fază întârziată sau avansată a somnului; Boala de reflux gastroesofagian (GERD); Boala somnului (Tripanosomiaza africană); Boala prin depunere de oxalat de calciu (CaOx); Boala Mixtă de Țesut Conjunctiv; BOALA SOMNULUI; Boala vasculară de colagen (ex. lupus eritematos sistemic); Boala prin depunere de calciu pirofosfat dihidrat (CPPD),bronchi; renes; os; colon; cartilago comp.; vitreous body; corpus amygdaloid.; conjunctiva; blood; esophagus; hepar; nervus facialis; membrana synovalis; cerebrum totalis; crystalline lens; cornea; erythrocutes; hypothalamus; cutis; mesenchume; lymph; pulma; bones; sympathicus
AIDS (HIV),Virus,5.148.555,4,Encefalopatia HIV (Complexul de demență asociat SIDA); Boala HIV/SIDA; Infecții; Sarcom Kaposi,erythrocutes; cutis; lymph; blood; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum; thymus (gland)
HIV,Virus,"365,000",9,Encefalopatia HIV (Complexul de demență asociat SIDA); Limfomul Burkitt; Infecții; Leucemia/limfomul cu celule T al adultului (ATLL); Leucemia/limfomul cu celule T al adultului (HTLV-I); LIMFOM; Sarcom Kaposi; Limfomul limfoblastic cu precursori ai celulei T sau B; Boala HIV/SIDA,erythrocutes; cutis; jaw; lymph; blood; occipital cerebrum; pulma; cerebrum totalis; bone marrow; frontal cerebrum; thymus (gland)
Dengue,Virus,9.472.737,2,Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Hemoragică Dengue,erythrocutes; renes; mama dextra; mamma sinistra; blood; hepar
Dengue 1,Necunoscut,virus,2,Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Hemoragică Dengue,erythrocutes; renes; mama dextra; mamma sinistra; blood; hepar
Dengue 2,Necunoscut,virus,2,Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Hemoragică Dengue,erythrocutes; renes; mama dextra; mamma sinistra; blood; hepar
Dengue 3,Necunoscut,virus,2,Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Hemoragică Dengue,erythrocutes; renes; mama dextra; mamma sinistra; blood; hepar
Dengue H,Necunoscut,virus,2,Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Hemoragică Dengue,erythrocutes; renes; mama dextra; mamma sinistra; blood; hepar
Ebola,Virus,"5.047.024,81",2,Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Hemoragică Dengue,erythrocutes; renes; mama dextra; mamma sinistra; blood; hepar
Marburg virus (Febra hemoragica Marburg),Virus,"8.649.265,62",2,Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Hemoragică Dengue,erythrocutes; renes; mama dextra; mamma sinistra; blood; hepar
Coxsackievirus A16 (Boala mana-picior-gura),Necunoscut,9.912.399,5,"Boala Kyasanur Forest și Febra Hemoragică Omsk; Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); MICOZĂ (... pe pielea capului, fire de păr și unghii); Megacolon și megaesofag în boala Chagas; URĂ",cutis; mama dextra; mamma sinistra; tumica mucosa coli; colon; cerebrum totalis; esophagus; hepar; corpus amygdaloid.
Hanta virus,Necunoscut,virus,5,"Boala Kyasanur Forest și Febra Hemoragică Omsk; Sindromul Pulmonar cu Hantavirus; Febra Hemoragică Dengue; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); FH cu Sindrom Renal",erythrocutes; bronchi; cutis; renes; mama dextra; mamma sinistra; blood; lymph; pulma; hepar
Borrelia valaisiana,Necunoscut,bacterie,3,Boala Lyme; BOALA LA COPIL; Polineuropatia în boala Lyme,medulla spinalis; cutis; membrana synovalis; nervus trigeminus; cor; Sistemic
Rickettsia prowazekii (Boala lui Brill – tifos recurent),Bacterie,"8.044.598,42",9,BOALA LUI MENIERE; BOALA LUI DUPUYTREN; MÂINI - BOALA LUI DUPUYTREN; BOALA LUI RAYNAUD; BOALA LUI HODGKIN; BOALA LUI PARKINSON; BOALA LUI FRIEDREICH; BOALA LUI BOUILLARD; BOALA LUI ADDISON,os; bone marrow; frontal cerebrum; endocardium; arteries; lien; auditory ossicle; nervus statoacust.; tympanic cavity; labyrinthus; cerebellum; membrana synovalis; occipital cerebrum; cerebrum totalis; gld. supraren. med.; cochlea; tuba auditiva; tendon; medulla spinalis; cutis; lymph; gld. supraren. cort; bones; cor
Nocardia asteroides,Bacterie,"354,950",6,"Boala Parkinson; Infecții; Infecții pulmonare (e.g., pneumonie, aspergiloză); BOALA LUI PARKINSON; Infecții cutanate (Impetigo, erizipel, celulită); Infecții cutanate (e.g., celulită, ecthyma gangrenosum)",erythrocutes; bronchi; cutis; mesencephalon; lymph; blood; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
Nocardia asteroides (Parkinson),"355.1, 368",355.35,6,"Boala Parkinson; Infecții; Infecții pulmonare (e.g., pneumonie, aspergiloză); BOALA LUI PARKINSON; Infecții cutanate (Impetigo, erizipel, celulită); Infecții cutanate (e.g., celulită, ecthyma gangrenosum)",erythrocutes; bronchi; cutis; mesencephalon; lymph; blood; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
Nocardia asteroides – boala Parkinson,"355.1, 368",355.35,6,"Boala Parkinson; Infecții; Infecții pulmonare (e.g., pneumonie, aspergiloză); BOALA LUI PARKINSON; Infecții cutanate (Impetigo, erizipel, celulită); Infecții cutanate (e.g., celulită, ecthyma gangrenosum)",erythrocutes; bronchi; cutis; mesencephalon; lymph; blood; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
MPTP erbicida (1-methyl-4-phenyl-1236-tetrahydropyridine),Neurotoxic,pesticid,2,BOALA LUI PARKINSON; Boala Parkinson,cerebrum totalis; frontal cerebrum; mesencephalon; occipital cerebrum
Borellia burgdorferi,Bacterie,9.140.499,2,Boala Lyme; Polineuropatia în boala Lyme,medulla spinalis; cutis; membrana synovalis; nervus trigeminus; cor
Borellia burgdorferi (Lyme disease),380,382.0,2,Boala Lyme; Polineuropatia în boala Lyme,medulla spinalis; cutis; membrana synovalis; nervus trigeminus; cor
Nanobacterii,Necunoscut,"283,000",7,DEPOZITE DE CALCIU; LITIAZA RENALĂ; Boala prin depunere de calciu hidroxiapatit (HA); Boala prin depunere de oxalat de calciu (CaOx); Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); DINTI - MASEA DE MINTE INCLUSA; Boala prin depunere de calciu pirofosfat dihidrat (CPPD),bronchi; membrana synovalis; ureter; renes; os; pulma; teeth; bones; cartilago comp.; arteries
Acid galic,Necunoscut,8.646.648,10,"Lentile de contact (abuz sau infecție); Boala renală cronică în contextul hipertensiunii; DERMATITA; Dermatita de Stază; Hipopnee și dispnee în somn; Steatoza hepatică și hepatita steatozică; NAȘTERE (felul în care s-a petrecut nașterea mea, ca și copil...); Dermatitis de Contact cu Iritant; Megacolon și megaesofag în boala Chagas; Dermatitis Alergică de Contact",bronchi; uterus; cutis; renes; conjunctiva; tumica mucosa coli; pulma; colon; cerebrum totalis; esophagus; cornea; pharynx; hepar; arteries; cor
Euritrema pancreaticum,Necunoscut,parazit,2,Boala renală cronică în contextul hipertensiunii; Pancreatita cronică,renes; cauda pancreat.; pancreas; arteries; cor
Trypanosoma brucei,Parazit,"423,200",11,FRICA; NARCOLEPSIE — BOALA SOMNULUI; Ginecomastie; Coma hiperosmolară; MOARTE; TOXICOMANIA; Boala somnului (Tripanosomiaza africană); BOALA SOMNULUI; Coma indusă de toxine; ENCEFALITA; COMA,erythrocutes; hypothalamus; renes; mama dextra; mamma sinistra; blood; occipital cerebrum; testes; cerebrum totalis; hypophysis; sympathicus; frontal cerebrum; hepar; corpus amygdaloid.; Sistemic
Cytochalasina B,☠️ Toxină,"77,910",3,CELUL; BOALĂ; RECT,cutis; lymph; tumica mucosa coli; colon; rectum; Sistemic
Erwinia amylorova,Bacterie,"347,200",5,"Infecții; Coxiurile de ciment (silicoza și boli obstructive); Boli cauzate de bacterii gram-negative; Infecții la gazda imunocompromisă; Diareea indusă de malabsorbția acizilor biliari (colecistectomie, boli ileale)",tympanic cavity; ductus choledochus; bronchi; erythrocutes; ductuli biliferi; vesica fellea; lymph; blood; tumica mucosa coli; pulma; colon; cochlea; tuba auditiva; auditory ossicle
Streptococcus beta haemolyticus (pentru scarlatina),Bacterie,"380,000",8,Glomerulonefrita post-streptococică; Faringita streptococică; REUMATISM; BOLILE COPILĂRIEI — SCARLATINA; FARINGITA; Reumatismul articular acut; Scarlatina; Reumatism articular acut,cutis; membrana synovalis; renes; blood; larynx; pharynx; cartilago comp.; cor
Streptococcus pyogenes,Bacterie,"360,500",10,"Faringita streptococică; Sindromul streptococic asemănător șocului toxic; BOLILE COPILĂRIEI — SCARLATINA; Erizipel; FARINGITA; Fasciita necrozantă; Scarlatina; Impetigo; Infecții cutanate (Impetigo, erizipel, celulită); Erizipeloidul (Infecții de la pești sau carne contaminată)",muscle; cutis; renes; blood; larynx; pharynx; cor
